Reading Date, 1 am kWh Consumption, 2 am kWh Consumption, 3 am kWh Consumption, 4 am kWh Consumption, 5 am kWh Consumption, 6 am kWh Consumption, 7 am kWh Consumption, 8 am kWh Consumption, 9 am kWh Consumption, 10 am kWh Consumption, 11 am kWh Consumption, 12 pm kWh Consumption, 1 pm kWh Consumption, 2 pm kWh Consumption, 3 pm kWh Consumption, 4 pm kWh Consumption, 5 pm kWh Consumption, 6 pm kWh Consumption, 7 pm kWh Consumption, 8 pm kWh Consumption, 9 pm kWh Consumption, 10 pm kWh Consumption, 11 pm kWh Consumption, 12 am kWh Consumption, Total On-Peak kWh Consumption, Total Mid-Peak kWh Consumption, * Total Off-Peak kWh Consumption
6/20/2020,2.341,3.132,1.435,1.596,1.255,0.537,0.51,2.428,0.628,0.727,0.731,3.462,3.418,3.806,1.791,3.683,2.76,0.691,2.778,4.26,4.062,3.873,3.736,2.361,0,0,56.001
6/21/2020,1.577,2.812,0.448,2.158,0.449,0.967,2.325,0.447,0.474,0.664,0.875,2.736,3.315,3.33,3.629,0.824,1.909,1.94,1.24,3.503,3.832,3.836,0.983,1.396,0,0,45.669
6/22/2020,2.761,0.878,1.958,0.537,2.041,0.524,1.599,0.527,0.723,0.812,0.598,0.83,0.718,0.806,1.734,3.457,3.531,2.957,2.659,3.915,3.707,1.62,0.996,0.884,11.076,8.276,21.42
6/23/2020,0.657,2.375,3.128,2.627,1.465,0.46,0.463,0.466,0.477,0.94,0.534,0.866,2.749,3.457,2.343,0.887,0.7,0.886,2.358,3.724,3.78,1.826,2.029,3.028,11.002,5.661,25.562
6/24/2020,0.756,0.767,1.987,0.483,0.481,0.48,0.483,0.496,0.75,0.692,0.431,0.598,0.792,0.744,0.697,0.615,0.625,0.658,1.385,1.135,0.885,1.718,1.557,0.893,4.071,4.412,11.625
6/25/2020,0.647,0.432,0.417,0.454,0.449,0.367,0.398,0.418,0.606,0.674,0.606,0.707,0.679,0.716,0.574,0.567,0.611,0.855,0.7,0.634,0.726,0.898,0.917,0.955,3.854,3.859,7.294
6/26/2020,0.608,0.423,0.394,0.384,0.379,0.523,0.379,0.38,0.547,0.774,0.411,0.538,0.765,0.494,0.438,0.487,0.453,3.472,3.714,4.04,3.828,4.107,3.973,2.678,3.175,9.298,21.716
6/27/2020,1.992,2.089,0.488,2,0.465,0.443,1.755,0.473,0.469,1.773,0.692,0.525,0.716,2.535,3.415,1.547,0.602,0.776,0.863,0.57,0.558,1.855,3.696,3.583,0,0,33.88
6/28/2020,2.969,0.69,2.095,0.564,0.62,0.443,0.425,0.43,0.443,2.185,0.982,0.575,1.116,3.564,1.949,0.653,0.891,3.66,3.834,3.989,2.458,3.766,3.727,1.03,0,0,43.058
6/29/2020,0.706,1.407,0.419,0.387,0.784,1.313,0.397,0.39,0.574,0.65,0.53,0.623,2.636,3.751,3.678,3.533,0.74,0.856,3.849,3.892,4.322,4.238,1.369,2.705,14.961,6.849,21.939
6/30/2020,2.759,0.536,0.575,1.626,0.429,0.438,1.341,0.453,0.612,0.7,0.655,0.75,2.746,3.68,2.365,0.759,0.891,1.502,0.798,1.154,0.927,1.083,1.181,1.126,11.191,4.72,13.175
7/1/2020,3.641,3.298,3.021,0.53,1.989,0.51,1.593,0.527,0.525,0.665,1.049,3.583,3.531,1.462,0.855,3.311,3.533,3.346,0.751,3.442,3.912,3.928,3.732,3.594,0,0,56.328
7/2/2020,0.778,0.482,1.455,1.087,0.477,1.794,0.965,0.446,0.436,0.73,0.618,0.591,2.295,3.948,3.882,2.111,0.788,2.391,4.149,4.07,3.953,3.949,3.8,1.837,13.615,8.77,24.647
7/3/2020,2.572,0.545,1.829,0.459,1.581,0.439,1.537,0.44,0.747,0.761,0.624,1.751,3.581,4.062,1.229,0.845,3.777,3.606,3.916,3.738,3.316,3.823,3.898,2.364,15.245,10.094,26.101
7/4/2020,3.971,1.321,2.424,0.526,1.59,0.909,0.46,0.45,0.472,0.868,0.592,0.667,2.762,3.41,0.809,0.927,3.525,1.637,3.592,3.697,3.792,3.987,3.575,1.214,0,0,47.177
